"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.035037000E0,-9.825417938E0,-1.493893433E-1,-3.335064697E0,1.037708106E1
1.045078000E0,-1.087159241E1,1.676363983E0,-2.923271027E0,1.138188171E1
1.055119000E0,-1.455737778E1,8.125103760E0,-2.898273010E0,1.692142267E1
1.065160000E0,-1.502859787E1,-4.334985352E0,-7.263944550E0,1.724574563E1
1.075200000E0,-1.597178650E1,-2.755919037E0,-7.336992645E0,1.779113585E1
1.085241000E0,-2.177372131E1,3.610491943E0,-4.157753906E0,2.245924107E1
1.095282000E0,-2.247725830E1,1.459165649E0,-4.483027496E0,2.296636324E1
1.105323000E0,-1.802985672E1,-7.704478455E-1,-4.941673737E0,1.871067777E1
1.115364000E0,-1.076366684E1,-2.214794312E0,-2.098635864E0,1.118776609E1
1.125405000E0,-5.529052277E0,-3.129691772E0,1.287173309E0,6.482453609E0
1.135446000E0,-3.832330627E0,-4.781955872E0,2.764451294E0,6.722800826E0
1.145487000E0,-4.343966675E0,-6.017486572E0,2.595452728E0,7.862351174E0
1.155528000E0,-5.219496002E0,-5.560935974E0,2.588417358E0,8.054008433E0
1.165569000E0,-4.965025177E0,-4.862338715E0,2.404449921E0,7.353583630E0
1.175610000E0,-5.346432037E0,-4.709955597E0,1.154399414E0,7.218078364E0
1.185651000E0,-6.529122620E0,-3.994892578E0,-5.408253479E-1,7.673402176E0
1.195692000E0,-7.850125580E0,-2.808310089E0,-2.002086639E0,8.574347094E0
1.205732000E0,-9.663005676E0,-2.468666382E0,-2.915038147E0,1.039064193E1
1.215773000E0,-1.303339691E1,-2.943329315E0,-3.705693970E0,1.386595797E1
1.225814000E0,-1.603540421E1,-3.919599152E0,-3.641627197E0,1.690440458E1
1.235855000E0,-1.670196808E1,-5.349874878E0,-3.251987457E0,1.783682487E1
1.245896000E0,-1.401041519E1,-6.050567780E0,-2.319277039E0,1.543632567E1
1.255937000E0,-1.076800781E1,-5.941744080E0,-1.915716248E0,1.244685839E1
1.265978000E0,-8.379125519E0,-6.008954315E0,-2.558629303E0,1.062374041E1
1.276019000E0,-6.503675537E0,-5.775439911E0,-2.584824829E0,9.073853705E0
1.286060000E0,-5.272485809E0,-5.868845673E0,-1.836530914E0,8.100327273E0
1.296101000E0,-4.967120819E0,-6.294710083E0,-1.475032654E0,8.152998564E0
1.306142000E0,-5.714067535E0,-6.225254517E0,-8.301736450E-1,8.490792064E0
1.316183000E0,-6.917415161E0,-5.951773224E0,-3.186872864E-1,9.131034914E0
1.326224000E0,-8.224646759E0,-5.592520294E0,-3.342549133E-1,9.951523697E0
1.336265000E0,-8.885971527E0,-5.238356781E0,-1.114881592E0,1.037515459E1
1.346305000E0,-8.343948669E0,-5.093158722E0,-2.749482422E0,1.015487069E1
1.356346000E0,-7.410489807E0,-5.215454407E0,-4.456233215E0,1.009823442E1
1.366387000E0,-7.040309601E0,-5.883964233E0,-6.577472076E0,1.128938144E1
1.376428000E0,-7.514224091E0,-7.207811279E0,-1.084015778E1,1.503080596E1
1.386469000E0,-7.608977051E0,-7.482340393E0,-9.111103363E0,1.403189773E1
1.396510000E0,-8.500672760E0,-6.430328064E0,-4.204007721E0,1.145793338E1
1.406551000E0,-8.430468750E0,-6.516997833E0,-2.744542694E0,1.100348030E1
1.416592000E0,-7.846083984E0,-6.698869629E0,-2.522704010E0,1.062073085E1
1.426633000E0,-7.372319183E0,-6.275250549E0,-2.086361389E0,9.903674240E0
1.436674000E0,-7.496860199E0,-5.712121582E0,-2.252216492E0,9.690393436E0
1.446715000E0,-7.550748138E0,-5.391338654E0,-3.080743561E0,9.776058041E0
1.456756000E0,-7.828869781E0,-5.776487732E0,-3.126398621E0,1.021926518E1
1.466797000E0,-8.059091034E0,-6.108197937E0,-2.703977051E0,1.046759391E1
1.476838000E0,-8.084238739E0,-6.332132263E0,-1.870659943E0,1.043792046E1
1.486878000E0,-8.103099518E0,-6.504723358E0,-9.352551270E-1,1.043294541E1
1.496919000E0,-7.787106628E0,-6.477030945E0,-3.376977539E-1,1.013434750E1
1.506960000E0,-7.270381165E0,-6.309828644E0,-1.913021851E-1,9.628550063E0
1.517001000E0,-6.944508820E0,-6.150260468E0,2.580633545E-1,9.280005564E0
1.527042000E0,-7.112010498E0,-5.772895203E0,3.900888062E-1,9.168379444E0
1.537083000E0,-7.563920746E0,-5.233866119E0,-2.380050659E-1,9.201244373E0
1.547124000E0,-7.546107788E0,-5.093158722E0,-9.175918579E-1,9.150190344E0
1.557165000E0,-7.657775574E0,-5.283862152E0,-1.032103729E0,9.360874109E0
1.567206000E0,-8.418044586E0,-5.669011230E0,-9.925859070E-1,1.019737171E1
1.577247000E0,-8.960815887E0,-5.468278656E0,-9.430389404E-1,1.053981097E1
1.587288000E0,-8.235274658E0,-5.218298492E0,-1.280886383E0,9.833161128E0
1.597329000E0,-7.643555145E0,-5.134921875E0,-2.350561981E0,9.503499332E0
1.607370000E0,-7.514972534E0,-5.032385101E0,-3.122506714E0,9.568163887E0
1.617411000E0,-7.145989838E0,-5.081333313E0,-3.275488586E0,9.360232074E0
1.627451000E0,-6.655160522E0,-5.371729431E0,-3.050805817E0,9.080421510E0
1.637492000E0,-6.406228180E0,-5.907764740E0,-2.758763123E0,9.140690219E0
1.647533000E0,-6.395151215E0,-6.372697906E0,-2.685415649E0,9.419166358E0
1.657574000E0,-7.137607269E0,-6.299500122E0,-2.837499390E0,9.933808036E0
1.667615000E0,-7.375762024E0,-6.070177002E0,-3.027454376E0,1.002069829E1
1.677656000E0,-7.115453339E0,-5.914949799E0,-3.297642517E0,9.822970707E0
1.687697000E0,-7.115603027E0,-5.810317383E0,-3.922592926E0,9.988910341E0
1.697738000E0,-7.166347504E0,-5.655090179E0,-4.545896759E0,1.019812526E1
1.707779000E0,-6.762038269E0,-5.879174194E0,-4.598587189E0,1.007158651E1
